user_id,track_id,artists,album_name,track_name,popularity,duration_ms,danceability,energy,liveness,valence,tempo,track_genre
67,10067,Sara Bareilles,What's Inside: Songs from Waitress,She Used To Be Mine,67,250266,0.397,0.303,0.101,0.172,81.05,pop
68,10068,Andrew Belle,In My Veins (Feat. Erin Mccarley),In My Veins - Feat. Erin Mccarley,65,318908,0.548,0.42,0.0899,0.196,128.012,pop
69,10069,Tyler Ward,Under Covers,I Don't Wanna Live Forever (Fifty Shades Darker),44,222351,0.787,0.403,0.131,0.264,118.042,pop
70,10070,Ron Pope,Whatever It Takes,A Drop In the Ocean,55,219480,0.484,0.573,0.15,0.346,139.966,pop
71,10071,Five For Fighting,America Town,Superman (It's Not Easy),70,221693,0.382,0.416,0.0719,0.125,102.089,pop
72,10072,Andrew Belle,Dive Deep,When the End Comes,57,354400,0.541,0.575,0.102,0.428,91.98,pop
73,10073,Bailey Jehl,You're Still The One,You're Still The One,56,177500,0.607,0.473,0.66,0.54,119.698,pop
74,10074,Ingrid Michaelson,It Doesn't Have To Make Sense,Light Me Up,56,247840,0.417,0.595,0.101,0.117,147.928,pop
75,10075,Jason Mraz,Love Is a Four Letter Word,93 Million Miles,67,216386,0.572,0.454,0.0974,0.515,140.182,pop
76,10076,A Great Big World,When the Morning Comes,Kaleidoscope,62,229320,0.709,0.913,0.167,0.519,108.024,pop
77,10077,Eddie Vedder;Nusrat Fateh Ali Khan,"Eat, Pray, Love",The Long Road,45,330933,0.537,0.342,0.0687,0.253,109.236,pop
78,10078,Drew Holcomb & The Neighbors,Good Light,What Would I Do Without You,64,172213,0.602,0.336,0.143,0.335,90.894,pop
79,10079,Jason Mraz,Know.,Have It All,65,226106,0.643,0.638,0.0707,0.6,82.001,pop
80,10080,Gabrielle Aplin,Mellow Adult Pop,Heavy Heart,0,235173,0.451,0.7,0.405,0.37,150.055,pop
81,10081,Gabrielle Aplin,Break Up Songs,The House We Never Built,0,195213,0.546,0.391,0.0552,0.202,139.669,pop
82,10082,Eddie Vedder,Into The Wild (Music For The Motion Picture),Society,68,236306,0.561,0.327,0.111,0.298,161.858,pop
83,10083,Gabrielle Aplin,u don't deserve me,Please Don't Say You Love Me,0,181400,0.479,0.541,0.108,0.3,85.994,pop
84,10084,Gabrielle Aplin,Coffee Moment,Please Don't Say You Love Me,0,181400,0.479,0.541,0.108,0.3,85.994,pop
85,10085,Eddie Vedder,Into The Wild (Music For The Motion Picture),Guaranteed,61,164500,0.436,0.4,0.125,0.351,100.734,pop
86,10086,Sara Bareilles,The Blessed Unrest,Brave,70,220573,0.551,0.836,0.0425,0.758,185.063,pop
87,10087,KT Tunstall,Slow Christmas Songs 2022,Lonely This Christmas,0,257493,0.409,0.153,0.108,0.18,85.262,pop
88,10088,KT Tunstall,Lonely Christmas 2022,Lonely This Christmas,0,257493,0.409,0.153,0.108,0.18,85.262,pop
89,10089,Five For Fighting,Bookmarks,Heaven Knows,62,210612,0.6,0.845,0.24,0.392,97.631,pop
90,10090,The Civil Wars,Slow Christmas Songs 2022,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,0.107,0.218,90.078,pop
91,10091,The Civil Wars,Alternative Christmas 2022,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,0.107,0.218,90.078,pop
92,10092,KT Tunstall,Alternative Christmas 2022,Fairytale Of New York,0,263866,0.447,0.555,0.124,0.33,117.888,pop
93,10093,The Civil Wars,Acoustic Christmas Campfire,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,0.107,0.218,90.078,pop
94,10094,The Civil Wars,Lonely Christmas 2022,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,0.107,0.218,90.078,pop
95,10095,The Civil Wars,Chill Christmas Dinner,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,0.107,0.218,90.078,pop
96,10096,The Civil Wars,sadsadchristmas,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,0.107,0.218,90.078,pop
97,10097,The Civil Wars,Christmas Country Songs 2022,I Heard The Bells On Christmas Day,0,154440,0.492,0.145,0.107,0.218,90.078,pop
98,10098,KT Tunstall,Del gusto de mamá,Hold On,0,177613,0.661,0.937,0.19,0.805,105.549,pop
99,10099,KT Tunstall,OO's Music Grandi Successi,Suddenly I See,0,199040,0.603,0.78,0.164,0.693,100.499,pop
100,10100,Motohiro Hata,言ノ葉,Rain,58,293040,0.626,0.655,0.13,0.542,92.003,pop
101,10101,Callum J Wright,Somebody Else (Acoustic),Somebody Else - Acoustic,50,138495,0.794,0.38,0.262,0.617,114.99,pop
102,10102,Andrew Belle,Black Bear (Hushed),Pieces (Hushed),59,198626,0.52,0.279,0.103,0.0951,69.642,pop
103,10103,Boyce Avenue;Fifth Harmony,"Cover Sessions, Vol. 3",Mirrors,57,292566,0.545,0.658,0.105,0.683,76.971,pop
104,10104,Boyce Avenue,Stand by Me,Stand by Me,60,199019,0.728,0.266,0.114,0.307,115.189,pop
105,10105,Gabrielle Aplin;JP Cooper,Dear Happy,Losing Me,61,181760,0.66,0.407,0.109,0.257,133.86,pop
106,10106,Mone Kamishiraishi,chouchou,なんでもないや - movie ver.,49,349920,0.357,0.161,0.358,0.325,83.449,pop
107,10107,John Adams,You’re Beautiful (Acoustic),You’re Beautiful - Acoustic,55,204973,0.479,0.154,0.0974,0.36,147.207,pop
108,10108,Kitri,Hikare Inochi,Hikare Inochi,51,322146,0.592,0.769,0.137,0.385,102.033,pop
109,10109,Tyler Ward,Songs From Nashville,How To Lose a Girl,46,210375,0.7,0.454,0.121,0.34,80.011,pop
110,10110,Boyce Avenue,"Cover Sessions, Vol. 6",Can’t Help Falling in Love,57,131000,0.402,0.197,0.114,0.148,100.044,pop
111,10111,Andrew Belle,Dive Deep (Hushed),Dive Deep (Hushed),58,218531,0.507,0.378,0.0937,0.085,135.86,pop
112,10112,Ben Woodward,When the Party's over (Acoustic Piano),When the Party's over (Acoustic Piano),51,195945,0.619,0.226,0.106,0.188,124.96,pop
113,10113,Augustana,All The Stars and Boulevards,Boston,63,245933,0.404,0.571,0.129,0.29,147.01,pop
114,10114,Matthew Perryman Jones,Living in the Shadows,Living in the Shadows,53,212386,0.418,0.79,0.117,0.197,175.975,pop
115,10115,Boyce Avenue,"Cover Sessions, Vol. 4",In Case You Didn’t Know,60,225165,0.633,0.299,0.109,0.341,147.549,pop
116,10116,Andrew Foy;Renee Foy,death bed (coffee for your head),death bed (coffee for your head),47,112008,0.565,0.0392,0.117,0.601,125.399,pop
117,10117,Kina Grannis,You Are My Sunshine,You Are My Sunshine,60,123609,0.664,0.0755,0.164,0.575,80.004,pop
118,10118,Jason Mraz,I Won't Give Up,I Won't Give Up,66,240165,0.585,0.303,0.115,0.142,136.703,pop
119,10119,Ray LaMontagne;Sierra Ferrell,I Was Born To Love You,I Was Born To Love You,67,265843,0.65,0.271,0.196,0.21,78.036,pop
120,10120,Meg Birch,Life Sucks Playlist,Only Love Can Hurt Like This,43,194194,0.534,0.213,0.107,0.0998,98.385,pop
121,10121,Catherine Feeny,Hurricane Glass,Mr Blue,54,154600,0.456,0.386,0.389,0.612,165.733,pop
122,10122,Joshua Hyslop,Where The Mountain Meets The Valley,Do Not Let Me Go,60,158960,0.409,0.234,0.0895,0.145,139.832,pop
123,10123,Ross Copperman,Holding On And Letting Go - Single,Holding On And Letting Go,49,319000,0.502,0.53,0.0728,0.102,78.046,pop
124,10124,JJ Heller,You Already Know,You Already Know,57,214360,0.496,0.117,0.126,0.318,78.068,pop
125,10125,Ben Woodward,Believer (Remix),Believer (Remix),42,204480,0.585,0.724,0.0448,0.333,187.484,pop
126,10126,Howie Day,Stop All the World Now (Special Edition),Collide - Acoustic Version,67,277000,0.582,0.253,0.091,0.294,90.186,pop
127,10127,Ben Rector,Magic,Love Like This,61,214240,0.637,0.14,0.107,0.392,139.78,pop
128,10128,Matt Nathanson,Some Mad Hope,Come On Get Higher,71,215173,0.672,0.623,0.0848,0.617,92.018,pop
129,10129,Rachael Yamagata,Something In the Rain (Music from the Original TV Series),"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",49,296862,0.422,0.272,0.0704,0.113,143.413,pop
130,10130,Parachute,The Way It Was,Kiss Me Slowly,61,235813,0.47,0.801,0.218,0.431,173.92,pop
131,10131,Parachute,Wide Awake,Without You,61,228933,0.564,0.864,0.182,0.534,95.984,pop
132,10132,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Absolutely Zero,20,339196,0.521,0.495,0.296,0.116,135.061,pop
133,10133,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Sleep All Day,22,296843,0.616,0.81,0.107,0.79,97.994,pop
134,10134,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),You and I Both,35,218240,0.615,0.812,0.328,0.74,98.954,pop
135,10135,Eddie Vedder,Into The Wild (Music For The Motion Picture),Long Nights,60,151773,0.478,0.305,0.169,0.0974,108.66,pop
136,10136,Gabrielle Aplin,English Rain,Please Don't Say You Love Me,59,181400,0.479,0.541,0.108,0.321,85.994,pop
137,10137,KT Tunstall,Eye To The Telescope,Suddenly I See,73,201706,0.587,0.767,0.112,0.664,100.38,pop
138,10138,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Who Needs Shelter,22,192260,0.514,0.569,0.218,0.264,142.597,pop
139,10139,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),No Stopping Us,19,198855,0.646,0.836,0.29,0.727,105.991,pop
140,10140,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),I'll Do Anything,24,191889,0.57,0.711,0.352,0.648,163.117,pop
141,10141,JJ Heller,I Dream of You: CALM,Make You Feel My Love,57,171293,0.678,0.199,0.0968,0.262,72.006,pop
142,10142,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),The Remedy (I Won't Worry),35,256440,0.589,0.867,0.306,0.795,94.52,pop
143,10143,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Too Much Food,20,221425,0.626,0.926,0.159,0.548,99.997,pop
144,10144,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),The Boy's Gone,18,255047,0.686,0.556,0.0922,0.36,112.997,pop
145,10145,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),"On Love, in Sadness",19,208793,0.56,0.832,0.232,0.802,100.957,pop
146,10146,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Curbside Prophet,23,214552,0.619,0.793,0.0828,0.892,177.991,pop
147,10147,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),"Tonight, Not Again - Live",19,264280,0.56,0.278,0.112,0.594,102.187,pop
148,10148,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),"Tonight, Not Again",18,289041,0.595,0.805,0.0691,0.359,102.44,pop
149,10149,Eddie Vedder,Into The Wild (Music For The Motion Picture),Hard Sun,65,322080,0.438,0.827,0.319,0.645,143.377,pop
150,10150,Susie Suh;Robot Koch,Here with Me,Here with Me,55,238971,0.582,0.375,0.136,0.106,129.909,pop
151,10151,Tyler Ward;Lindsey Stirling;Kina Grannis,"Tyler Ward Covers, Vol. 5",The Scientist,47,276575,0.453,0.295,0.293,0.14,146.022,pop
152,10152,Howie Day,Stop All The World Now,Collide,56,249120,0.636,0.625,0.119,0.342,93.931,pop
153,10153,Eden Elf;Ren Avel,get better,get better,53,111734,0.639,0.201,0.124,0.4,88.107,pop
154,10154,Kitri,Hikare Inochi,Sympathy,49,210760,0.69,0.423,0.111,0.59,130.121,pop
155,10155,Boyce Avenue;Rachel Grae,Let It Go,Let It Go,51,255688,0.599,0.349,0.112,0.444,147.913,pop
156,10156,Chord Overstreet,What You Need,What You Need,53,181786,0.519,0.264,0.237,0.192,140.354,pop
157,10157,Five For Fighting,The Battle for Everything,100 Years,66,244600,0.643,0.569,0.178,0.275,120.507,pop
158,10158,Andrew Belle,Nightshade,You're the Sea,56,174546,0.573,0.624,0.114,0.529,161.025,pop
159,10159,Rachael Yamagata,"One Spring Night (Original Television Soundtrack), Pt. 1",No Direction,47,234330,0.654,0.821,0.228,0.613,111.958,pop
160,10160,Cary Brothers,Under Control,Belong,51,255600,0.426,0.399,0.118,0.217,115.979,pop
161,10161,The Mayries,As It Was,As It Was,55,176542,0.505,0.21,0.11,0.323,80.721,pop
162,10162,Jason Mraz,I'm Yours,I'm Yours,60,243494,0.693,0.43,0.0928,0.731,151.001,pop
163,10163,Joseph Sullinger,Chi Mai,Chi Mai,40,188695,0.739,0.287,0.111,0.557,80.64,pop
164,10164,A Great Big World;Christina Aguilera,Say Something,Say Something,58,229400,0.453,0.146,0.0945,0.0915,137.905,pop
165,10165,Parachute,Parachute,Had It All,55,216853,0.606,0.54,0.144,0.249,79.952,pop
166,10166,Zack Tabudlo;Yonnyboii,Take Me Back,Take Me Back ft. Yonnyboii,50,149000,0.595,0.646,0.258,0.563,120.049,pop
167,10167,Tobey Rosen,Whole Again (Acoustic Version),Whole Again - Acoustic Version,52,157231,0.736,0.145,0.108,0.235,129.832,pop
168,10168,The Mayries,Overpass Graffiti,Overpass Graffiti,54,226603,0.479,0.126,0.113,0.279,96.327,pop
169,10169,Sara Bareilles,Little Voice,Love Song,73,258826,0.583,0.786,0.188,0.573,123.055,pop
170,10170,Andrew Foy;Renee Foy,Let Her Go,Let Her Go,38,194013,0.549,0.291,0.129,0.376,75.153,pop
171,10171,Aqualung,Still Life,Brighter Than Sunshine,53,242439,0.418,0.489,0.42,0.398,72.891,pop
172,10172,Tyler Ward;Karis;Ray Lorraine,Love Story,Love Story,55,232500,0.498,0.12,0.171,0.338,121.187,pop
173,10173,Agustín Amigó;Nylonwings,Mujer con Abanico,Mujer con Abanico,41,156787,0.769,0.135,0.106,0.471,103.939,pop
174,10174,Amy Stroup,In the Shadows,In the Shadows,46,263823,0.434,0.469,0.108,0.0568,136.282,pop
175,10175,Boyce Avenue;Connie Talbot,Can You Feel the Love Tonight,Can You Feel the Love Tonight,63,250916,0.452,0.198,0.1,0.217,119.499,pop
176,10176,Brandi Carlile,The Story,The Story,66,238493,0.544,0.5,0.109,0.177,93.621,pop
177,10177,JJ Heller,Better,Better,54,215906,0.662,0.187,0.0922,0.233,104.988,pop
178,10178,Kina Grannis,Iris,Iris,62,181136,0.497,0.13,0.111,0.179,130.769,pop
179,10179,The Mayries,#Acoustic,Rockabye - Acoustic Version,57,157466,0.528,0.291,0.121,0.355,76.805,pop
180,10180,Caleb Santos;Viva Music Publishing Inc.,I Need You More Today,I Need You More Today,68,233728,0.461,0.522,0.123,0.446,157.768,pop
181,10181,Boyce Avenue,"Cover Sessions, Vol. 4",Beautiful Soul,62,216612,0.483,0.506,0.0946,0.705,87.337,pop
182,10182,Jason Mraz,Know.,Let's See What The Night Can Do,53,245186,0.392,0.423,0.117,0.288,113.537,pop
183,10183,Rachael Yamagata,Something In the Rain (Music from the Original TV Series),"La La La (Something In the Rain, Pt. 2) [Music from the Original TV Series]",44,219613,0.42,0.2,0.0758,0.164,87.248,pop
184,10184,Parachute,The Way It Was,Forever And Always,57,248960,0.657,0.716,0.0483,0.435,93.924,pop
185,10185,Priscilla Ahn,When Marnie Was There Song Album - Just Know That I Love You.,Fine On The Outside,52,252466,0.495,0.185,0.109,0.196,101.89,pop
186,10186,Chord Overstreet,Tree House Tapes,Tortured Soul,53,246613,0.55,0.499,0.0798,0.144,86.966,pop
187,10187,JJ Heller,I Believe in You,I Believe in You,53,198786,0.534,0.359,0.331,0.267,131.804,pop
188,10188,Jon Bryant,Cult Classic,At Home,55,226640,0.378,0.52,0.0979,0.357,73.744,pop
189,10189,Donovan Woods,"Hard Settle, Ain't Troubled","Portland, Maine",66,203869,0.606,0.349,0.112,0.156,80.071,pop
190,10190,Ross Copperman,Holding On and Letting Go LP,Holding On and Letting Go,49,317441,0.486,0.555,0.109,0.0992,77.987,pop
191,10191,Joshua Hyslop,In Deepest Blue (Bonus Track Version),The Flood,60,261640,0.577,0.446,0.116,0.262,81.005,pop
192,10192,Angelina Cruz,Hanggang Kailan (Umuwi Ka Na Baby),Hanggang Kailan (Umuwi Ka Na Baby),38,211933,0.59,0.407,0.094,0.276,145.852,pop
193,10193,Stephen Speaks,No More Doubt,Out of My League,67,218800,0.538,0.315,0.0979,0.4,91.921,pop
194,10194,A Great Big World,Is There Anybody Out There? - Track by Track Commentary,Say Something,57,233266,0.447,0.158,0.0816,0.142,140.942,pop
195,10195,Eddie Vedder,Into The Wild (Music For The Motion Picture),Rise,60,156453,0.401,0.58,0.134,0.526,173.277,pop
196,10196,The Weepies;Deb Talan;Steve Tannen,Say I Am You,World Spins Madly On,64,165133,0.502,0.311,0.129,0.4,107.612,pop
197,10197,Freddie King,Thanksgiving Party,Stumble,0,216626,0.678,0.612,0.164,0.857,118.381,pop
198,10198,Taj Mahal,Supa Chill,Paradise,0,251426,0.65,0.406,0.484,0.862,79.642,pop
199,10199,Keb' Mo';Gerald Albright,Un tecito y a mimir,"Moonlight, Mistletoe & You",0,209293,0.649,0.399,0.113,0.342,97.498,pop
200,10200,Motohiro Hata,青の光景,ひまわりの約束,61,308146,0.523,0.445,0.18,0.336,78.957,pop
201,10201,Thomas Daniel,Since U Been Gone,Since U Been Gone - Acoustic Version,50,221170,0.538,0.162,0.114,0.366,94.981,pop
202,10202,Masayoshi Yamazaki,"One more time,One more chance","One more time,One more chance",47,330786,0.519,0.429,0.111,0.396,129.491,pop
203,10203,Kina Grannis,Creep,Creep,58,234135,0.585,0.103,0.126,0.179,133.057,pop
204,10204,Todd Carey;Ariza;Chuck Leavell,Higher Love,Higher Love,30,173250,0.578,0.763,0.0743,0.394,96.808,pop
205,10205,YUZU,Shinsekai,Hyouriittai,52,336619,0.223,0.891,0.287,0.333,159.888,pop
206,10206,Canyon City,How Long Will I Love You,How Long Will I Love You,55,144830,0.382,0.157,0.112,0.224,136.11,pop
207,10207,Zack Tabudlo,Binibini,Binibini,67,221538,0.642,0.374,0.435,0.0979,129.863,pop
208,10208,Aron Wright,You Were Supposed to Be Different,You Were Supposed to Be Different,45,192972,0.436,0.239,0.0902,0.137,73.761,pop
209,10209,Boyce Avenue,"Cover Sessions, Vol. 3",Thinking out Loud,56,278640,0.702,0.326,0.168,0.628,79.904,pop
210,10210,Jonah Baker,Covers,Perfect / Style,37,212864,0.593,0.292,0.174,0.375,111.121,pop
211,10211,The Civil Wars,Barton Hollow,Poison & Wine,54,219466,0.285,0.186,0.104,0.203,153.848,pop
212,10212,Howie Day,Stop All The World Now,Collide,66,249120,0.636,0.625,0.119,0.342,93.931,pop
213,10213,Ingrid Michaelson,Be OK,You And I,63,148400,0.698,0.285,0.0883,0.53,135.027,pop
214,10214,Zack Tabudlo;Billkin,Give Me Your Forever,Give Me Your Forever (ft. Billkin),58,244800,0.601,0.439,0.0942,0.275,99.976,pop
215,10215,Landon Pigg,Coffee Shop,Falling in Love at a Coffee Shop,55,270840,0.332,0.298,0.114,0.243,83.555,pop
216,10216,Anna Nalick,Wreck of the Day,Breathe (2 AM),65,279826,0.386,0.452,0.0881,0.287,169.837,pop
217,10217,Zack Tabudlo,Episode,Habang Buhay,69,244067,0.62,0.668,0.362,0.183,118.013,pop
218,10218,Jonah Baker,Beautiful Soul,Beautiful Soul,44,214738,0.394,0.281,0.0854,0.485,90.044,pop
